@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data
12,10,13,12,3,False,False,True,True,Stop,-17,Stop,-18
12,10,13,12,3,False,False,True,True,Stop,-18,Stop,-19
12,10,13,12,3,False,False,True,True,Stop,-19,Stop,-20
12,10,13,12,3,False,False,True,True,Stop,-20,Stop
12,10,13,12,3,False,False,True,True,None,0,Stop,-1
12,10,13,12,3,False,False,True,True,Stop,-1,Stop,-2
12,10,13,12,3,False,False,True,True,Stop,-2,Stop,-3
12,10,13,12,3,False,False,True,True,Stop,-3,Stop,-4
12,10,13,12,3,False,False,True,True,Stop,-4,Stop,-5
12,10,13,12,3,False,False,True,True,Stop,-5,Stop,-6
12,10,13,12,3,False,False,True,True,Stop,-6,Stop
12,10,13,12,3,True,True,True,True,None,0,Stop,-1
12,10,13,12,3,True,True,True,True,Stop,-1,Stop,-2
12,10,13,12,3,True,True,True,True,Stop,-2,Stop,-3
12,10,13,12,3,True,True,True,True,Stop,-3,Stop,-4
12,10,13,12,3,True,True,True,True,Stop,-4,Stop,-5
12,10,13,12,3,True,True,True,True,Stop,-5,Stop,-6
12,10,13,12,3,True,True,True,True,Stop,-6,Stop,-7
12,10,13,12,3,True,True,True,True,Stop,-7,Stop,-8
12,10,13,12,3,True,True,True,True,Stop,-8,Stop,-9
12,10,13,12,3,True,True,True,True,Stop,-9,Stop,-10
12,10,13,12,3,True,True,True,True,Stop,-10,Stop,-11
12,10,13,12,3,True,True,True,True,Stop,-11,Stop,-12
12,10,13,12,3,True,True,True,True,Stop,-12,Stop,-13
12,10,13,12,3,True,True,True,True,Stop,-13,Stop,-14
12,10,13,12,3,True,True,True,True,Stop,-14,Stop,-15
12,10,13,12,3,True,True,True,True,Stop,-15,Stop,-16
12,10,13,12,3,True,True,True,True,Stop,-16,Stop,-17
12,10,13,12,3,True,True,True,True,Stop,-17,Stop,-18
12,10,13,12,3,True,True,True,True,Stop,-18,Stop,-19
12,10,13,12,3,True,True,True,True,Stop,-19,Stop,-20
12,10,13,12,3,True,True,True,True,Stop,-20,Stop,-21
12,10,13,12,3,True,True,True,True,Stop,-21,Stop,-22
12,10,13,12,3,True,True,True,True,Stop,-22,Stop,-23
12,10,13,12,3,True,True,True,True,Stop,-23,Stop,-24
12,10,13,12,3,True,True,True,True,Stop,-24,Stop,-25
12,10,13,12,3,True,True,True,True,Stop,-25,Stop,-26
12,10,13,12,3,True,True,True,True,Stop,-26,Stop,-27
12,10,13,12,3,True,True,True,True,Stop,-27,Stop,-28
