@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data
12,10,13,12,3,False,False,True,True,Stop,-79,Stop,-80
12,10,13,12,3,False,False,True,True,Stop,-80,Stop,-81
12,10,13,12,3,False,False,True,True,Stop,-81,Stop,-82
12,10,13,12,3,False,False,True,True,Stop,-82,Stop,-83
12,10,13,12,3,False,False,True,True,Stop,-83,Stop,-84
12,10,13,12,3,False,False,True,True,Stop,-84,Stop,-85
12,10,13,12,3,False,False,True,True,Stop,-85,Stop,-86
12,10,13,12,3,False,False,True,True,Stop,-86,Stop,-87
12,10,13,12,3,False,False,True,True,Stop,-87,Stop,-88
12,10,13,12,3,False,False,True,True,Stop,-88,Stop,-89
12,10,13,12,3,False,False,True,True,Stop,-89,Stop,-90
12,10,13,12,3,False,False,True,True,Stop,-90,Stop,-91
12,10,13,12,3,False,False,True,True,Stop,-91,Stop,-92
12,10,13,12,3,False,False,True,True,Stop,-92,Stop,-93
12,10,13,12,3,False,False,True,True,Stop,-93,Stop,-94
12,10,13,12,3,False,False,True,True,Stop,-94,Stop,-95
12,10,13,12,3,False,False,True,True,Stop,-95,Stop,-96
12,10,13,12,3,False,False,True,True,Stop,-96,Stop,-97
12,10,13,12,3,False,False,True,True,Stop,-97,Stop,-98
12,10,13,12,3,False,False,True,True,Stop,-98,Stop,-99
12,10,13,12,3,False,False,True,True,Stop,-99,Stop,-100
12,10,13,12,3,False,False,True,True,Stop,-100,Stop,-101
12,10,13,12,3,False,False,True,True,Stop,-101,Stop,-102
12,10,13,12,3,False,False,True,True,Stop,-102,Stop,-103
12,10,13,12,3,False,False,True,True,Stop,-103,Stop,-104
12,10,13,12,3,False,False,True,True,Stop,-104,Stop,-105
12,10,13,12,3,False,False,True,True,Stop,-105,Stop,-106
12,10,13,12,3,False,False,True,True,Stop,-106,Stop,-107
12,10,13,12,3,False,False,True,True,Stop,-107,Stop,-108
12,10,13,12,3,False,False,True,True,Stop,-108,Stop,-109
12,10,13,12,3,False,False,True,True,Stop,-109,Stop,-110
12,10,13,12,3,False,False,True,True,Stop,-110,Stop,-111
12,10,13,12,3,False,False,True,True,Stop,-111,Stop,-112
12,10,13,12,3,False,False,True,True,Stop,-112,Stop,-113
12,10,13,12,3,False,False,True,True,Stop,-113,Stop,-114
12,10,13,12,3,False,False,True,True,Stop,-114,Stop,-115
12,10,13,12,3,False,False,True,True,Stop,-115,Stop,-116
12,10,13,12,3,False,False,True,True,Stop,-116,Stop,-117
12,10,13,12,3,False,False,True,True,Stop,-117,Stop,-118
12,10,13,12,3,False,False,True,True,Stop,-118,Stop,-119
12,10,13,12,3,False,False,True,True,Stop,-119,Stop,-120
12,10,13,12,3,False,False,True,True,Stop,-120,Stop,-121
12,10,13,12,3,False,False,True,True,Stop,-121,Stop,-122
12,10,13,12,3,False,False,True,True,Stop,-122,Stop,-123
12,10,13,12,3,False,False,True,True,Stop,-123,Stop,-124
12,10,13,12,3,False,False,True,True,Stop,-124,Stop,-125
12,10,13,12,3,False,False,True,True,Stop,-125,Stop,-126
12,10,13,12,3,False,False,True,True,Stop,-126,Stop,-127
12,10,13,12,3,False,False,True,True,Stop,-127,Stop,-128
12,10,13,12,3,False,False,True,True,Stop,-128,Stop,-129
12,10,13,12,3,False,False,True,True,Stop,-129,Stop,-130
12,10,13,12,3,False,False,True,True,Stop,-130,Stop,-131
12,10,13,12,3,False,False,True,True,Stop,-131,Stop,-132
12,10,13,12,3,False,False,True,True,Stop,-132,Stop,-133
12,10,13,12,3,False,False,True,True,Stop,-133,Stop,-134
12,10,13,12,3,False,False,True,True,Stop,-134,Stop,-135
12,10,13,12,3,False,False,True,True,Stop,-135,Stop,-136
12,10,13,12,3,False,False,True,True,Stop,-136,Stop,-137
12,10,13,12,3,False,False,True,True,Stop,-137,Stop,-138
